,location,year,category,rank,query
291,Netherlands,2003,Popular Queries,2,Christina Aguilera
292,Netherlands,2003,Popular Queries,3,Voetbal
293,Netherlands,2003,Popular Queries,4,Beyonce
294,Netherlands,2003,Popular Queries,5,Vuurwerk
295,Spain,2003,Popular Men,1,Eminem
296,Spain,2003,Popular Men,2,Valentino Rossi
297,Spain,2003,Popular Men,3,Beckham
298,Spain,2003,Popular Men,4,Orlando Bloom
299,Spain,2003,Popular Men,5,Josh Hartnett
300,Spain,2003,Popular Movies,1,Matrix
301,Spain,2003,Popular Movies,2,El Senor de los Anillos
302,Spain,2003,Popular Movies,3,Harry Potter
303,Spain,2003,Popular Movies,4,Spiderman
304,Spain,2003,Popular Movies,5,Hulk
305,Spain,2003,Popular Queries,1,Letizia Ortiz
306,Spain,2003,Popular Queries,2,Terra
307,Spain,2003,Popular Queries,3,Gran Hermano
308,Spain,2003,Popular Queries,4,Juegos
309,Spain,2003,Popular Queries,5,Coches
310,United Kingdom,2003,Searches,1,Prince Charles
311,United Kingdom,2003,Searches,2,EastEnders
312,United Kingdom,2003,Searches,3,Winnie the Pooh
313,United Kingdom,2003,Searches,4,Jonny Wilkinson
314,United Kingdom,2003,Searches,5,EasyJet
315,United Kingdom,2003,Sports,1,Jonny Wilkinson
316,United Kingdom,2003,Sports,2,David Beckham
317,United Kingdom,2003,Sports,3,Rugby World Cup
318,United Kingdom,2003,Sports,4,Manchester United
319,United Kingdom,2003,Sports,5,Football
320,United Kingdom,2003,Travel,1,EasyJet
321,United Kingdom,2003,Travel,2,Cheap Flights
322,United Kingdom,2003,Travel,3,Ryanair
323,United Kingdom,2003,Travel,4,British Airways
324,United Kingdom,2003,Travel,5,Train Times
325,Global,2004,Car Images,1,Ferrari
326,Global,2004,Car Images,2,BMW
327,Global,2004,Car Images,3,Lamborghini
328,Global,2004,Car Images,4,Nissan Skyline
329,Global,2004,Car Images,5,Porsche
330,Global,2004,Cartoons Images,1,The Simpsons
331,Global,2004,Cartoons Images,2,Pokémon
332,Global,2004,Cartoons Images,3,South Park
333,Global,2004,Cartoons Images,4,Garfield
334,Global,2004,Cartoons Images,5,Hello Kitty
335,Global,2004,Companies,1,SCO
336,Global,2004,Companies,2,Johnson & Johnson
337,Global,2004,Companies,3,ING
338,Global,2004,Companies,4,GE Aviation
339,Global,2004,Companies,5,Fleet
340,Global,2004,Consumer Brands,1,eBay
341,Global,2004,Consumer Brands,2,Walmart
342,Global,2004,Consumer Brands,3,MapQuest
343,Global,2004,Consumer Brands,4,Amazon
344,Global,2004,Consumer Brands,5,Home Depot
345,Global,2004,Countries,1,France
346,Global,2004,Countries,2,China
347,Global,2004,Countries,3,India
348,Global,2004,Countries,4,Iraq
349,Global,2004,Countries,5,Iran
350,Global,2004,Deaths of 2004,1,Nicholas Berg
351,Global,2004,Deaths of 2004,2,Christopher Reeve
352,Global,2004,Deaths of 2004,3,Spalding Gray
353,Global,2004,Deaths of 2004,4,Marlon Brando
354,Global,2004,Deaths of 2004,5,Kenneth Bigley
355,Global,2004,Entertainment,1,Spa
356,Global,2004,Entertainment,2,Movies
357,Global,2004,Entertainment,3,Nightclub
358,Global,2004,Entertainment,4,Pub
359,Global,2004,Entertainment,5,Zoo
360,Global,2004,Female Celebrity Images,1,Britney Spears
361,Global,2004,Female Celebrity Images,2,Christina Aguilera
362,Global,2004,Female Celebrity Images,3,Pamela Anderson
363,Global,2004,Female Celebrity Images,4,Paris Hilton
364,Global,2004,Female Celebrity Images,5,Carmen Electra
365,Global,2004,Foods,1,Pizza
366,Global,2004,Foods,2,Sushi
367,Global,2004,Foods,3,Bakery
368,Global,2004,Foods,4,Chinese
369,Global,2004,Foods,5,Italian
370,Global,2004,Froogle Brand Searches,1,Louis Vuitton
371,Global,2004,Froogle Brand Searches,2,Nikon
372,Global,2004,Froogle Brand Searches,3,Canon
373,Global,2004,Froogle Brand Searches,4,Treo
374,Global,2004,Froogle Brand Searches,5,Tiffany
375,Global,2004,Froogle Clothing Searches,1,Bikini
376,Global,2004,Froogle Clothing Searches,2,Mini Skirt
377,Global,2004,Froogle Clothing Searches,3,Prom Dresses
378,Global,2004,Froogle Clothing Searches,4,Lingerie
379,Global,2004,Froogle Clothing Searches,5,Little Black Dress
380,Global,2004,Froogle Computer Goods Searches,1,Tablet PC
381,Global,2004,Froogle Computer Goods Searches,2,Computer
382,Global,2004,Froogle Computer Goods Searches,3,Laptop
383,Global,2004,Froogle Computer Goods Searches,4,Headphones
384,Global,2004,Froogle Computer Goods Searches,5,Computer Speakers
385,Global,2004,Froogle Electronics Searches,1,iPod
386,Global,2004,Froogle Electronics Searches,2,Digital Camera
387,Global,2004,Froogle Electronics Searches,3,MP3
388,Global,2004,Froogle Electronics Searches,4,Xbox
389,Global,2004,Froogle Electronics Searches,5,PlayStation 2
390,Global,2004,Froogle Hobby Searches,1,Poker Chips
391,Global,2004,Froogle Hobby Searches,2,Airsoft Guns
392,Global,2004,Froogle Hobby Searches,3,Mountain Bike
393,Global,2004,Froogle Hobby Searches,4,Pocket Bike
394,Global,2004,Froogle Hobby Searches,5,Night Vision Goggles
395,Global,2004,Froogle Shoe Searches,1,UGG Boots
396,Global,2004,Froogle Shoe Searches,2,Puma
397,Global,2004,Froogle Shoe Searches,3,Adidas
398,Global,2004,Froogle Shoe Searches,4,Nike
399,Global,2004,Froogle Shoe Searches,5,Aerosole
400,Global,2004,Health Services,1,Doctor
401,Global,2004,Health Services,2,Hospital
402,Global,2004,Health Services,3,Massage
403,Global,2004,Health Services,4,Dentist
404,Global,2004,Health Services,5,Yoga
405,Global,2004,Hotel Chains,1,Holiday Inn
406,Global,2004,Hotel Chains,2,Hampton Inn
407,Global,2004,Hotel Chains,3,Marriott
408,Global,2004,Hotel Chains,4,Hilton
409,Global,2004,Hotel Chains,5,Days Inn
410,Global,2004,Male Celebrity Images,1,Orlando Bloom
411,Global,2004,Male Celebrity Images,2,Eminem
412,Global,2004,Male Celebrity Images,3,Usher
413,Global,2004,Male Celebrity Images,4,Johnny Depp
414,Global,2004,Male Celebrity Images,5,Brad Pitt
415,Global,2004,Men,1,Orlando Bloom
416,Global,2004,Men,2,Eminem
417,Global,2004,Men,3,Usher
418,Global,2004,Men,4,Johnny Depp
419,Global,2004,Men,5,Brad Pitt
420,Global,2004,News Outlets,1,CNN
421,Global,2004,News Outlets,2,Washington Post
422,Global,2004,News Outlets,3,BBC
423,Global,2004,News Outlets,4,Fox News
424,Global,2004,News Outlets,5,New York Times
425,Global,2004,Professional Services,1,Real Estate
426,Global,2004,Professional Services,2,Attorney
427,Global,2004,Professional Services,3,Insurance Broker
428,Global,2004,Professional Services,4,Car Dealer
429,Global,2004,Professional Services,5,Hair Salon
430,Global,2004,Public Figures,1,George W. Bush
431,Global,2004,Public Figures,2,Janet Jackson
432,Global,2004,Public Figures,3,John Kerry
433,Global,2004,Public Figures,4,Britney Spears
434,Global,2004,Public Figures,5,Saddam Hussein
435,Global,2004,Retail Chains,1,Walmart
436,Global,2004,Retail Chains,2,Home Depot
437,Global,2004,Retail Chains,3,Best Buy
438,Global,2004,Retail Chains,4,Costco
439,Global,2004,Retail Chains,5,Walgreens
440,Global,2004,Searches,1,Britney Spears
441,Global,2004,Searches,2,Paris Hilton
442,Global,2004,Searches,3,Christina Aguilera
443,Global,2004,Searches,4,Pamela Anderson
444,Global,2004,Searches,5,Chat
445,Global,2004,Sports,1,David Beckham
446,Global,2004,Sports,2,Tour de France
447,Global,2004,Sports,3,Euro 2004
448,Global,2004,Sports,4,NBA
449,Global,2004,Sports,5,Lance Armstrong
450,Global,2004,Sports Services,1,YMCA
451,Global,2004,Sports Services,2,Golf
452,Global,2004,Sports Services,3,Campground
453,Global,2004,Sports Services,4,Bowling
454,Global,2004,Sports Services,5,Marathon
455,Global,2004,Technology,1,Wallpaper
456,Global,2004,Technology,2,Kazaa
457,Global,2004,Technology,3,MP3
458,Global,2004,Technology,4,Spybot
459,Global,2004,Technology,5,Linux
460,Global,2004,TV Shows,1,The Simpsons
461,Global,2004,TV Shows,2,Pokémon
462,Global,2004,TV Shows,3,South Park
463,Global,2004,TV Shows,4,Charmed
464,Global,2004,TV Shows,5,SpongeBob SquarePants
465,Global,2004,Women,1,Britney Spears
466,Global,2004,Women,2,Paris Hilton
467,Global,2004,Women,3,Christina Aguilera
468,Global,2004,Women,4,Pamela Anderson
469,Global,2004,Women,5,Carmen Electra
470,Global,2005,Froogle Searches,1,iPod
471,Global,2005,Froogle Searches,2,Digital Camera
472,Global,2005,Froogle Searches,3,MP3 Player
473,Global,2005,Froogle Searches,4,iPod Mini
474,Global,2005,Froogle Searches,5,PlayStation Portable
475,Global,2005,Most Searched,1,Janet Jackson
476,Global,2005,Most Searched,2,Hurricane Katrina
477,Global,2005,Most Searched,3,Tsunami
478,Global,2005,Most Searched,4,Xbox 360
479,Global,2005,Most Searched,5,Brad Pitt
480,Global,2006,Deaths of 2006,1,Aaron Spelling
481,Global,2006,Deaths of 2006,2,Kirby Puckett
482,Global,2006,Deaths of 2006,3,Jack Wild
483,Global,2006,Deaths of 2006,4,Clifford Geertz
484,Global,2006,Deaths of 2006,5,Muriel Spark
485,Global,2006,Define...,1,Define Promiscuous
486,Global,2006,Define...,2,Define Web 2.0
487,Global,2006,Define...,3,Define FTW
488,Global,2006,Define...,4,Define Calidad
489,Global,2006,Define...,5,Define Ajax
490,Global,2006,Divorces,1,Paul McCartney and Heather Mills
491,Global,2006,Divorces,2,Travis Barker and Shanna Moakler
492,Global,2006,Divorces,3,Britney Spears and Kevin Federline
493,Global,2006,Divorces,4,Whitney Houston and Bobby Brown
494,Global,2006,Divorces,5,Eminem and Kim Mathers
495,Global,2006,How to...,1,How to Refinance
496,Global,2006,How to...,2,Wiki How To
497,Global,2006,How to...,3,How to Drift
498,Global,2006,How to...,4,How to Podcast
